user_id,is_hub,adjacency_reads
4659,false,10
4661,false,10
4675,false,10
4705,false,10
4711,false,10
4739,false,10
4748,false,10
4898,false,10
4968,false,10
4977,false,10
4981,false,10
4987,false,10
4989,false,10
4990,false,10
5027,false,10
5048,false,10
5069,false,10
5073,false,10
5114,false,10
5145,false,10
5159,false,10
5202,false,10
5216,false,10
5283,false,10
5311,false,10
5319,false,10
5330,false,10
5342,false,10
5367,false,10
5393,false,10
5426,false,10
5451,false,10
5500,false,10
5540,false,10
5599,false,10
5610,false,10
5621,false,10
5657,false,10
5659,false,10
5668,false,10
5726,false,10
5771,false,10
5793,false,10
5795,false,10
5836,false,10
5921,false,10
5930,false,10
5934,false,10
5938,false,10
5958,false,10
6043,false,10
6063,false,10
6096,false,10
6104,false,10
6110,false,10
6177,false,10
6180,false,10
6262,false,10
6264,false,10
6296,false,10
6309,false,10
6312,false,10
6315,false,10
6324,false,10
6342,false,10
6390,false,10
6404,false,10
6455,false,10
6468,false,10
6472,false,10
6484,false,10
6495,false,10
6498,false,10
6499,false,10
6519,false,10
6542,false,10
6547,false,10
6563,false,10
6573,false,10
6659,false,10
6719,false,10
6770,false,10
6829,false,10
6863,false,10
6871,false,10
6886,false,10
6888,false,10
6890,false,10
6911,false,10
6968,false,10
6989,false,10
7020,false,10
7022,false,10
7026,false,10
7027,false,10
7088,false,10
7110,false,10
7123,false,10
7141,false,10
7147,false,10
7148,false,10
7202,false,10
7239,false,10
7266,false,10
7276,false,10
7305,false,10
7309,false,10
7324,false,10
7336,false,10
7337,false,10
7356,false,10
7419,false,10
7435,false,10
7478,false,10
7514,false,10
7526,false,10
7528,false,10
7567,false,10
7623,false,10
7630,false,10
7633,false,10
7652,false,10
7660,false,10
7690,false,10
7715,false,10
7725,false,10
7739,false,10
7740,false,10
7794,false,10
7795,false,10
7797,false,10
7804,false,10
7807,false,10
7848,false,10
7853,false,10
7899,false,10
7900,false,10
7917,false,10
7931,false,10
7937,false,10
7946,false,10
7952,false,10
7979,false,10
8041,false,10
8064,false,10
8081,false,10
8134,false,10
8149,false,10
8215,false,10
8227,false,10
8228,false,10
8231,false,10
8232,false,10
8275,false,10
8284,false,10
8287,false,10
8293,false,10
8375,false,10
8401,false,10
8402,false,10
8466,false,10
8478,false,10
8491,false,10
8494,false,10
8496,false,10
8504,false,10
8530,false,10
8640,false,10
8655,false,10
8657,false,10
8693,false,10
8707,false,10
8723,false,10
8738,false,10
8740,false,10
8779,false,10
8854,false,10
8887,false,10
8898,false,10
8910,false,10
8916,false,10
8968,false,10
9027,false,10
9038,false,10
9106,false,10
9157,false,10
9158,false,10
9182,false,10
9232,false,10
9237,false,10
9241,false,10
9248,false,10
9304,false,10
9311,false,10
9312,false,10
9323,false,10
9327,false,10
9357,false,10
9364,false,10
9365,false,10
9388,false,10
9398,false,10
9412,false,10
9413,false,10
9429,false,10
9444,false,10
9479,false,10
9506,false,10
9509,false,10
9529,false,10
9540,false,10
9619,false,10
9632,false,10
9652,false,10
9670,false,10
9715,false,10
9749,false,10
9788,false,10
9830,false,10
9838,false,10
9856,false,10
9864,false,10
9885,false,10
9890,false,10
9912,false,10
9915,false,10
9920,false,10
9926,false,10
9942,false,10
9988,false,10
122,false,9
135,false,9
136,false,9
143,false,9
155,false,9
171,false,9
179,false,9
202,false,9
205,false,9
208,false,9
236,false,9
258,false,9
271,false,9
276,false,9
324,false,9
329,false,9
348,false,9
349,false,9
382,false,9
392,false,9
415,false,9
431,false,9
439,false,9
449,false,9
450,false,9
451,false,9
454,false,9
472,false,9
487,false,9
490,false,9
503,false,9
508,false,9
520,false,9
537,false,9
544,false,9
605,false,9
653,false,9
657,false,9
659,false,9
660,false,9
736,false,9
738,false,9
741,false,9
755,false,9
764,false,9
766,false,9
774,false,9
779,false,9
785,false,9
799,false,9
831,false,9
844,false,9
850,false,9
853,false,9
868,false,9
880,false,9
909,false,9
934,false,9
960,false,9
963,false,9
965,false,9
985,false,9
1014,false,9
1019,false,9
1039,false,9
1053,false,9
1054,false,9
1062,false,9
1072,false,9
1079,false,9
1099,false,9
1103,false,9
1128,false,9
1182,false,9
1188,false,9
1202,false,9
1208,false,9
1214,false,9
1216,false,9
1227,false,9
1234,false,9
1277,false,9
1281,false,9
1299,false,9
1323,false,9
1335,false,9
1357,false,9
1370,false,9
1376,false,9
1379,false,9
1381,false,9
1389,false,9
1426,false,9
1455,false,9
1460,false,9
1482,false,9
1502,false,9
1511,false,9
1532,false,9
1537,false,9
1538,false,9
1539,false,9
1541,false,9
1554,false,9
1564,false,9
1578,false,9
1596,false,9
1607,false,9
1609,false,9
1612,false,9
1678,false,9
1681,false,9
1688,false,9
1691,false,9
1696,false,9
1707,false,9
1714,false,9
1726,false,9
1808,false,9
1815,false,9
1853,false,9
1857,false,9
1861,false,9
1863,false,9
1869,false,9
1872,false,9
1884,false,9
1907,false,9
1924,false,9
1934,false,9
1941,false,9
1952,false,9
1964,false,9
1980,false,9
1993,false,9
2014,false,9
2026,false,9
2046,false,9
2067,false,9
2076,false,9
2102,false,9
2118,false,9
2156,false,9
2181,false,9
2226,false,9
2232,false,9
2234,false,9
2262,false,9
2272,false,9
2282,false,9
2288,false,9
2303,false,9
2307,false,9
2308,false,9
2318,false,9
2319,false,9
2357,false,9
2360,false,9
2367,false,9
2372,false,9
2381,false,9
2400,false,9
2412,false,9
2429,false,9
2431,false,9
2437,false,9
2440,false,9
2442,false,9
2462,false,9
2483,false,9
2486,false,9
2506,false,9
2525,false,9
2540,false,9
2565,false,9
2575,false,9
2580,false,9
2583,false,9
2589,false,9
2592,false,9
2602,false,9
2607,false,9
2608,false,9
2620,false,9
2629,false,9
2643,false,9
2648,false,9
2651,false,9
2662,false,9
2691,false,9
2712,false,9
2714,false,9
2756,false,9
2760,false,9
2782,false,9
2797,false,9
2811,false,9
2816,false,9
2827,false,9
2829,false,9
2834,false,9
2852,false,9
2883,false,9
2894,false,9
2900,false,9
2909,false,9
2910,false,9
2923,false,9
2969,false,9
2985,false,9
3006,false,9
3027,false,9
3080,false,9
3098,false,9
3125,false,9
3128,false,9
3145,false,9
3146,false,9
3176,false,9
3184,false,9
3191,false,9
3197,false,9
3199,false,9
3202,false,9
3207,false,9
3210,false,9
3213,false,9
3233,false,9
3241,false,9
3271,false,9
3289,false,9
3310,false,9
3343,false,9
3382,false,9
3397,false,9
3415,false,9
3427,false,9
3434,false,9
3460,false,9
3471,false,9
3473,false,9
3482,false,9
3484,false,9
3488,false,9
3500,false,9
3540,false,9
3549,false,9
3554,false,9
3582,false,9
3589,false,9
3605,false,9
3611,false,9
3618,false,9
3701,false,9
3702,false,9
3703,false,9
3712,false,9
3747,false,9
3771,false,9
3777,false,9
3808,false,9
3819,false,9
3823,false,9
3826,false,9
3845,false,9
3852,false,9
3874,false,9
3882,false,9
3902,false,9
3903,false,9
3923,false,9
3930,false,9
3934,false,9
3968,false,9
3993,false,9
4014,false,9
4018,false,9
4034,false,9
4049,false,9
4081,false,9
4082,false,9
4085,false,9
4087,false,9
4096,false,9
4106,false,9
4143,false,9
4162,false,9
4171,false,9
4178,false,9
4201,false,9
4208,false,9
4215,false,9
4224,false,9
4230,false,9
4234,false,9
4238,false,9
4245,false,9
4252,false,9
4253,false,9
4260,false,9
4282,false,9
4288,false,9
4294,false,9
4306,false,9
4315,false,9
4346,false,9
4351,false,9
4368,false,9
4382,false,9
4384,false,9
4391,false,9
4394,false,9
4396,false,9
4397,false,9
4415,false,9
4455,false,9
4462,false,9
4488,false,9
4490,false,9
4532,false,9
4537,false,9
4556,false,9
4570,false,9
4610,false,9
4612,false,9
4644,false,9
4645,false,9
4662,false,9
4697,false,9
4722,false,9
4727,false,9
4758,false,9
4762,false,9
4776,false,9
4786,false,9
4801,false,9
4809,false,9
4818,false,9
4830,false,9
4834,false,9
4838,false,9
4848,false,9
4865,false,9
4875,false,9
4885,false,9
4886,false,9
4888,false,9
4902,false,9
4911,false,9
4914,false,9
4921,false,9
4922,false,9
4937,false,9
4949,false,9
4951,false,9
4997,false,9
4998,false,9
5040,false,9
5041,false,9
5052,false,9
5061,false,9
5077,false,9
5091,false,9
5126,false,9
5155,false,9
5164,false,9
5167,false,9
5187,false,9
5211,false,9
5225,false,9
5229,false,9
5232,false,9
5239,false,9
5282,false,9
5285,false,9
5292,false,9
5354,false,9
5357,false,9
5371,false,9
5377,false,9
5383,false,9
5391,false,9
5392,false,9
5435,false,9
5456,false,9
5465,false,9
5466,false,9
5489,false,9
5501,false,9
5519,false,9
5535,false,9
5537,false,9
5541,false,9
5546,false,9
5560,false,9
5561,false,9
5627,false,9
5629,false,9
5644,false,9
5650,false,9
5653,false,9
5666,false,9
5686,false,9
5690,false,9
5725,false,9
5768,false,9
5779,false,9
5787,false,9
5800,false,9
5832,false,9
5834,false,9
5845,false,9
5849,false,9
5853,false,9
5900,false,9
5931,false,9
5935,false,9
5945,false,9
5949,false,9
5963,false,9
5969,false,9
6006,false,9
6008,false,9
6030,false,9
6032,false,9
6045,false,9
6075,false,9
6078,false,9
6086,false,9
6113,false,9
6129,false,9
6157,false,9
6175,false,9
6181,false,9
6182,false,9
6190,false,9
6195,false,9
6252,false,9
6289,false,9
6314,false,9
6319,false,9
6349,false,9
6373,false,9
6389,false,9
6409,false,9
6451,false,9
6461,false,9
6462,false,9
6491,false,9
6510,false,9
6553,false,9
6561,false,9
6574,false,9
6585,false,9
6633,false,9
6650,false,9
6703,false,9
6726,false,9
6733,false,9
6739,false,9
6740,false,9
6742,false,9
6765,false,9
6771,false,9
6780,false,9
6790,false,9
6802,false,9
6804,false,9
6813,false,9
6844,false,9
6867,false,9
6959,false,9
7019,false,9
7023,false,9
7041,false,9
7051,false,9
7054,false,9
7059,false,9
7069,false,9
7074,false,9
7075,false,9
7079,false,9
7084,false,9
7109,false,9
7119,false,9
7121,false,9
7131,false,9
7153,false,9
7170,false,9
7186,false,9
7201,false,9
7221,false,9
7228,false,9
7231,false,9
7274,false,9
7292,false,9
7293,false,9
7300,false,9
7301,false,9
7318,false,9
7321,false,9
7332,false,9
7348,false,9
7370,false,9
7375,false,9
7393,false,9
7399,false,9
7401,false,9
7402,false,9
7413,false,9
7429,false,9
7430,false,9
7444,false,9
7451,false,9
7452,false,9
7476,false,9
7504,false,9
7525,false,9
7571,false,9
7598,false,9
7621,false,9
7625,false,9
7626,false,9
7636,false,9
7666,false,9
7679,false,9
7681,false,9
7695,false,9
7724,false,9
7753,false,9
7772,false,9
7783,false,9
7805,false,9
7817,false,9
7820,false,9
7825,false,9
7826,false,9
7832,false,9
7840,false,9
7845,false,9
7851,false,9
7893,false,9
7960,false,9
7965,false,9
7977,false,9
7981,false,9
7982,false,9
8031,false,9
8033,false,9
8036,false,9
8038,false,9
8070,false,9
8075,false,9
8077,false,9
8079,false,9
8080,false,9
8096,false,9
8100,false,9
8105,false,9
8128,false,9
8130,false,9
8142,false,9
8147,false,9
8152,false,9
8168,false,9
8177,false,9
8203,false,9
8271,false,9
8272,false,9
8274,false,9
8282,false,9
8315,false,9
8339,false,9
8357,false,9
8362,false,9
8382,false,9
8398,false,9
8441,false,9
8450,false,9
8452,false,9
8458,false,9
8462,false,9
8468,false,9
8473,false,9
8490,false,9
8535,false,9
8591,false,9
8609,false,9
8624,false,9
8645,false,9
8651,false,9
8665,false,9
8701,false,9
8705,false,9
8716,false,9
8739,false,9
8773,false,9
8794,false,9
8848,false,9
8849,false,9
8879,false,9
8884,false,9
8894,false,9
8929,false,9
8932,false,9
8959,false,9
9008,false,9
9013,false,9
9025,false,9
9039,false,9
9046,false,9
9048,false,9
9074,false,9
9087,false,9
9118,false,9
9125,false,9
9168,false,9
9173,false,9
9177,false,9
9188,false,9
9189,false,9
9190,false,9
9203,false,9
9210,false,9
9212,false,9
9222,false,9
9250,false,9
9254,false,9
9255,false,9
9261,false,9
9280,false,9
9285,false,9
9293,false,9
9301,false,9
9308,false,9
9317,false,9
9345,false,9
9353,false,9
9382,false,9
9391,false,9
9392,false,9
9394,false,9
9404,false,9
9415,false,9
9417,false,9
9436,false,9
9439,false,9
9462,false,9
9468,false,9
9512,false,9
9524,false,9
9528,false,9
9539,false,9
9553,false,9
9564,false,9
9575,false,9
9581,false,9
9593,false,9
9643,false,9
9645,false,9
9692,false,9
9696,false,9
9702,false,9
9707,false,9
9718,false,9
9726,false,9
9729,false,9
9744,false,9
9748,false,9
9767,false,9
9804,false,9
9805,false,9
9816,false,9
9824,false,9
9829,false,9
9844,false,9
9850,false,9
9857,false,9
9878,false,9
9902,false,9
9913,false,9
9918,false,9
9930,false,9
9938,false,9
9947,false,9
9949,false,9
9953,false,9
9984,false,9
102,false,8
103,false,8
114,false,8
117,false,8
127,false,8
130,false,8
134,false,8
145,false,8
151,false,8
161,false,8
172,false,8
180,false,8
183,false,8
189,false,8
194,false,8
199,false,8
203,false,8
204,false,8
211,false,8
226,false,8
233,false,8
256,false,8
261,false,8
272,false,8
281,false,8
295,false,8
297,false,8
298,false,8
299,false,8
313,false,8
330,false,8
338,false,8
355,false,8
370,false,8
374,false,8
379,false,8
381,false,8
383,false,8
391,false,8
399,false,8
400,false,8
412,false,8
417,false,8
428,false,8
435,false,8
442,false,8
447,false,8
462,false,8
478,false,8
483,false,8
484,false,8
504,false,8
505,false,8
515,false,8
532,false,8
542,false,8
557,false,8
558,false,8
574,false,8
600,false,8
602,false,8
621,false,8
634,false,8
645,false,8
654,false,8
665,false,8
685,false,8
686,false,8
693,false,8
699,false,8
701,false,8
702,false,8
707,false,8
714,false,8
715,false,8
730,false,8
739,false,8
777,false,8
789,false,8
791,false,8
793,false,8
801,false,8
814,false,8
830,false,8
834,false,8
840,false,8
852,false,8
863,false,8
867,false,8
875,false,8
881,false,8
903,false,8
912,false,8
914,false,8
916,false,8
927,false,8
939,false,8
951,false,8
953,false,8
970,false,8
976,false,8
996,false,8
999,false,8
1010,false,8
1017,false,8
1018,false,8
1026,false,8
1027,false,8
1031,false,8
1061,false,8
1074,false,8
1075,false,8
1114,false,8
1115,false,8
1119,false,8
1124,false,8
1126,false,8
1141,false,8
1164,false,8
1187,false,8
1198,false,8
1205,false,8
1210,false,8
1211,false,8
1215,false,8
1246,false,8
1255,false,8
1256,false,8
1262,false,8
1268,false,8
1272,false,8
1303,false,8
1305,false,8
1317,false,8
1329,false,8
1334,false,8
1341,false,8
1349,false,8
1353,false,8
1372,false,8
1377,false,8
1382,false,8
1407,false,8
1409,false,8
1424,false,8
1434,false,8
1445,false,8
1448,false,8
1464,false,8
1486,false,8
1495,false,8
1510,false,8
1512,false,8
1520,false,8
1525,false,8
1530,false,8
1536,false,8
1547,false,8
1563,false,8
1566,false,8
1568,false,8
1576,false,8
1593,false,8
1594,false,8
1603,false,8
1613,false,8
1630,false,8
1639,false,8
1647,false,8
1652,false,8
1666,false,8
1672,false,8
1677,false,8
1682,false,8
1694,false,8
1711,false,8
1719,false,8
1720,false,8
1727,false,8
1734,false,8
1748,false,8
1750,false,8
1763,false,8
1787,false,8
1794,false,8
1803,false,8
1816,false,8
1818,false,8
1820,false,8
1841,false,8
1843,false,8
1845,false,8
1849,false,8
1874,false,8
1878,false,8
1896,false,8
1897,false,8
1898,false,8
1905,false,8
1914,false,8
1920,false,8
1931,false,8
1935,false,8
1951,false,8
1953,false,8
2001,false,8
2010,false,8
2022,false,8
2035,false,8
2062,false,8
2063,false,8
2064,false,8
2077,false,8
2083,false,8
2086,false,8
2092,false,8
2147,false,8
2157,false,8
2159,false,8
2162,false,8
2168,false,8
2171,false,8
2173,false,8
2174,false,8
2204,false,8
2215,false,8
2220,false,8
2221,false,8
2224,false,8
2229,false,8
2239,false,8
2241,false,8
2248,false,8
2253,false,8
2264,false,8
2265,false,8
2270,false,8
2276,false,8
2277,false,8
2289,false,8
2293,false,8
2299,false,8
2300,false,8
2330,false,8
2340,false,8
2368,false,8
2378,false,8
2384,false,8
2392,false,8
2394,false,8
2414,false,8
2422,false,8
2434,false,8
2450,false,8
2463,false,8
2464,false,8
2485,false,8
2487,false,8
2491,false,8
2502,false,8
2505,false,8
2520,false,8
2522,false,8
2539,false,8
2543,false,8
2552,false,8
2553,false,8
2556,false,8
2587,false,8
2594,false,8
2624,false,8
2661,false,8
2670,false,8
2699,false,8
2704,false,8
2719,false,8
2724,false,8
2737,false,8
2753,false,8
2759,false,8
2764,false,8
2767,false,8
2769,false,8
2820,false,8
2824,false,8
2845,false,8
2864,false,8
2892,false,8
2913,false,8
2929,false,8
2935,false,8
2938,false,8
2955,false,8
2957,false,8
2958,false,8
2966,false,8
2996,false,8
3001,false,8
3003,false,8
3005,false,8
3013,false,8
3015,false,8
3024,false,8
3029,false,8
3040,false,8
3054,false,8
3060,false,8
3063,false,8
3079,false,8
3083,false,8
3095,false,8
3097,false,8
3103,false,8
3104,false,8
3109,false,8
3111,false,8
3112,false,8
3114,false,8
3120,false,8
3144,false,8
3161,false,8
3171,false,8
3180,false,8
3194,false,8
3196,false,8
3203,false,8
3234,false,8
3236,false,8
3251,false,8
3264,false,8
3274,false,8
3275,false,8
3280,false,8
3296,false,8
3313,false,8
3317,false,8
3320,false,8
3350,false,8
3371,false,8
3417,false,8
3428,false,8
3439,false,8
3441,false,8
3447,false,8
3448,false,8
3457,false,8
3462,false,8
3466,false,8
3470,false,8
3475,false,8
3476,false,8
